date;jour;mois
06/01/2016;-0,253;
05/01/2016;-0,251;
04/01/2016;-0,241;
31/12/2015;-0,127;-0,199
30/12/2015;-0,14;
29/12/2015;-0,223;
28/12/2015;-0,238;
24/12/2015;-0,244;
23/12/2015;-0,234;
22/12/2015;-0,231;
21/12/2015;-0,231;
18/12/2015;-0,237;
17/12/2015;-0,238;
16/12/2015;-0,241;
15/12/2015;-0,239;
14/12/2015;-0,23;
11/12/2015;-0,231;
10/12/2015;-0,232;
09/12/2015;-0,235;
08/12/2015;-0,147;
07/12/2015;-0,142;
04/12/2015;-0,138;
03/12/2015;-0,136;
02/12/2015;-0,132;
01/12/2015;-0,131;
30/11/2015;-0,127;-0,135
27/11/2015;-0,138;
26/11/2015;-0,139;
25/11/2015;-0,134;
24/11/2015;-0,139;
23/11/2015;-0,138;
20/11/2015;-0,133;
19/11/2015;-0,137;
18/11/2015;-0,129;
17/11/2015;-0,131;
16/11/2015;-0,138;
13/11/2015;-0,132;
12/11/2015;-0,138;
11/11/2015;-0,131;
10/11/2015;-0,139;
09/11/2015;-0,145;
06/11/2015;-0,138;
05/11/2015;-0,129;
04/11/2015;-0,13;
03/11/2015;-0,134;
02/11/2015;-0,129;
30/10/2015;-0,129;-0,139
29/10/2015;-0,143;
28/10/2015;-0,145;
27/10/2015;-0,137;
26/10/2015;-0,144;
23/10/2015;-0,134;
22/10/2015;-0,139;
21/10/2015;-0,136;
20/10/2015;-0,139;
19/10/2015;-0,142;
16/10/2015;-0,142;
15/10/2015;-0,143;
